n,name,slug,profile,level,subjects,subject_slugs
52,Олимпиада школьников «Покори Воробьевы горы!»,perechen-52,математика,1,математика,matematika
52,Олимпиада школьников «Покори Воробьевы горы!»,perechen-52,обществознание,1,обществознание,obshchestvo
52,Олимпиада школьников «Покори Воробьевы горы!»,perechen-52,журналистика,1,средства массовой информации и информационно-библиотечное дело,literatura
52,Олимпиада школьников «Покори Воробьевы горы!»,perechen-52,физика,1,физика,fizika
53,Олимпиада школьников «Робофест»,perechen-53,физика,2,физика,fizika
54,Олимпиада школьников «Физтех»,perechen-54,биология,2,биология,biologiya
54,Олимпиада школьников «Физтех»,perechen-54,информатика и программирование,3,информатика,informatika
54,Олимпиада школьников «Физтех»,perechen-54,математика,2,математика,matematika
54,Олимпиада школьников «Физтех»,perechen-54,научно-технический,2,"математика, физика",matematika;fizika
54,Олимпиада школьников «Физтех»,perechen-54,физика,1,физика,fizika
54,Олимпиада школьников «Физтех»,perechen-54,инженерное дело,2,физика,fizika
54,Олимпиада школьников «Физтех»,perechen-54,химия,3,химия,himiya
55,Олимпиада школьников «Шаг в будущее»,perechen-55,информатика,3,информатика и вычислительная техника,informatika
55,Олимпиада школьников «Шаг в будущее»,perechen-55,инженерное дело,2,"компьютерные и информационные науки, информатика и вычислительная техника, информационная безопасность, электроника, радиотехника и системы связи, фотоника, приборостроение, оптические и биотехнические системы и технологии, электро- и теплоэнергетика, ядерная энергетика и технологии, машиностроение, оружие и системы вооружения, техносферная безопасность и природообустройство, технологии материалов, техника и технологии наземного транспорта, авиационная и ракетно-космическая техника, управление в технических системах, нанотехнологии и наноматериалы",informatika;inzheneriya;fizika
55,Олимпиада школьников «Шаг в будущее»,perechen-55,математика,3,математика,matematika
55,Олимпиада школьников «Шаг в будущее»,perechen-55,физика,2,физика,fizika
55,Олимпиада школьников «Шаг в будущее»,perechen-55,химия,3,химия,himiya
55,Олимпиада школьников «Шаг в будущее»,perechen-55,компьютерное моделирование и графика,3,"электроника, радиотехника и системы связи, фотоника, приборостроение, оптические и биотехнические системы и технологии, электро- и теплоэнергетика, ядерная энергетика и технологии, машиностроение, физико-технические науки и технологии, оружие и системы вооружения, техносферная безопасность и природообустройство, технологии материалов, техника и технологии наземного транспорта, авиационная и ракетно-космическая техника, управление в технических системах, нанотехнологии и наноматериалы",informatika;inzheneriya;fizika
56,Олимпиада школьников по информатике и программированию,perechen-56,информатика,1,информатика,informatika
57,Олимпиада школьников по программированию «ТехноКубок»,perechen-57,информатика,2,информатика,informatika
58,Олимпиада школьников Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации,perechen-58,иностранный язык,3,иностранный язык,yazyki
58,Олимпиада школьников Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации,perechen-58,история,2,история,istoriya
58,Олимпиада школьников Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации,perechen-58,обществознание,2,обществознание,obshchestvo
58,Олимпиада школьников Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации,perechen-58,политология,3,политология,obshchestvo
58,Олимпиада школьников Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации,perechen-58,журналистика,2,средства массовой информации и информационно-библиотечное дело,literatura
58,Олимпиада школьников Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации,perechen-58,финансовая грамотность,3,экономика,ekonomika
58,Олимпиада школьников Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации,perechen-58,экономика,3,экономика,ekonomika
59,Олимпиада школьников Санкт-Петербургского государственного университета,perechen-59,биология,1,биология,biologiya
59,Олимпиада школьников Санкт-Петербургского государственного университета,perechen-59,география,1,география,nauki-o-zemle
59,Олимпиада школьников Санкт-Петербургского государственного университета,perechen-59,иностранный язык,1,иностранный язык,yazyki
59,Олимпиада школьников Санкт-Петербургского государственного университета,perechen-59,филология,1,"иностранный язык, литература, русский язык",yazyki;literatura
59,Олимпиада школьников Санкт-Петербургского государственного университета,perechen-59,информатика,1,информатика,informatika
59,Олимпиада школьников Санкт-Петербургского государственного университета,perechen-59,история,1,история,istoriya
59,Олимпиада школьников Санкт-Петербургского государственного университета,perechen-59,медицина,2,"клиническая медицина, фармация, сестринское дело",biologiya
59,Олимпиада школьников Санкт-Петербургского государственного университета,perechen-59,математика,1,математика,matematika
59,Олимпиада школьников Санкт-Петербургского государственного университета,perechen-59,математическое моделирование и искусственный интеллект,3,"математика и механика, информатика и вычислительная техника",informatika;matematika
59,Олимпиада школьников Санкт-Петербургского государственного университета,perechen-59,инженерные системы,3,"математика, астрономия, химия, управление в технических системах",matematika;fizika;himiya;inzheneriya
59,Олимпиада школьников Санкт-Петербургского государственного университета,perechen-59,обществознание,1,обществознание,obshchestvo
59,Олимпиада школьников Санкт-Петербургского государственного университета,perechen-59,гуманитарные и социальные науки,2,"обществознание, история",obshchestvo;istoriya
59,Олимпиада школьников Санкт-Петербургского государственного университета,perechen-59,международные отношения,2,политические науки и регионоведение,obshchestvo
59,Олимпиада школьников Санкт-Петербургского государственного университета,perechen-59,политология,2,политические науки и регионоведение,obshchestvo
59,Олимпиада школьников Санкт-Петербургского государственного университета,perechen-59,право,1,право,obshchestvo
59,Олимпиада школьников Санкт-Петербургского государственного университета,perechen-59,психология,3,психологические науки,obshchestvo
59,Олимпиада школьников Санкт-Петербургского государственного университета,perechen-59,журналистика,1,средства массовой информации и информационно-библиотечное дело,literatura
59,Олимпиада школьников Санкт-Петербургского государственного университета,perechen-59,физика,2,физика,fizika
59,Олимпиада школьников Санкт-Петербургского государственного университета,perechen-59,философия,2,"философия, этика и религиоведение, теология, психологические науки",obshchestvo
59,Олимпиада школьников Санкт-Петербургского государственного университета,perechen-59,химия,2,химия,himiya
59,Олимпиада школьников Санкт-Петербургского государственного университета,perechen-59,экономика,2,экономика,ekonomika
60,Олимпиада школьников федерального государственного бюджетного образовательного учреждения высшего образования «Всероссийский государственный университет юстиции (РПА Минюста России)» «В мир права»,perechen-60,право,2,юриспруденция,obshchestvo
61,Олимпиада Юношеской математической школы,perechen-61,математика,2,математика,matematika
62,Открытая межвузовская олимпиада школьников Сибирского федерального округа «Будущее Сибири»,perechen-62,физика,2,физика,fizika
62,Открытая межвузовская олимпиада школьников Сибирского федерального округа «Будущее Сибири»,perechen-62,химия,2,химия,himiya
63,Открытая олимпиада Северо-Кавказского федерального университета среди учащихся образовательных организаций «45 параллель»,perechen-63,география,2,география,nauki-o-zemle
64,Открытая олимпиада школьников,perechen-64,информатика,1,информатика,informatika
64,Открытая олимпиада школьников,perechen-64,математика,3,математика,matematika
64,Открытая олимпиада школьников,perechen-64,физика,3,физика,fizika
65,Открытая олимпиада школьников по программированию,perechen-65,информатика,1,информатика,informatika
66,Открытая олимпиада школьников по программированию «Когнитивные технологии»,perechen-66,информатика,2,информатика,informatika
67,Открытая региональная межвузовская олимпиада школьников (ОРМО) с международным участием,perechen-67,география,3,география,nauki-o-zemle
67,Открытая региональная межвузовская олимпиада школьников (ОРМО) с международным участием,perechen-67,история,3,история,istoriya
67,Открытая региональная межвузовская олимпиада школьников (ОРМО) с международным участием,perechen-67,литература,2,литература,literatura
67,Открытая региональная межвузовская олимпиада школьников (ОРМО) с международным участием,perechen-67,русский язык,2,русский язык,yazyki
67,Открытая региональная межвузовская олимпиада школьников (ОРМО) с международным участием,perechen-67,физика,3,физика,fizika
67,Открытая региональная межвузовская олимпиада школьников (ОРМО) с международным участием,perechen-67,химия,3,химия,himiya
68,Открытая химическая олимпиада,perechen-68,химия,3,химия,himiya
69,Отраслевая олимпиада школьников «Газпром»,perechen-69,информационные и коммуникационные технологии,3,информатика,inzheneriya;informatika
69,Отраслевая олимпиада школьников «Газпром»,perechen-69,инженерное дело,3,физика,fizika
70,Отраслевая физико-математическая олимпиада школьников «Росатом»,perechen-70,информатика,2,информатика,informatika
70,Отраслевая физико-математическая олимпиада школьников «Росатом»,perechen-70,математика,2,математика,matematika
70,Отраслевая физико-математическая олимпиада школьников «Росатом»,perechen-70,физика,1,физика,fizika
71,Пироговская олимпиада для школьников по химии и биологии,perechen-71,биология,3,биология,biologiya
71,Пироговская олимпиада для школьников по химии и биологии,perechen-71,химия,3,химия,himiya
72,Плехановская олимпиада школьников,perechen-72,иностранный язык,2,иностранный язык,yazyki
72,Плехановская олимпиада школьников,perechen-72,экономика,3,обществознание,ekonomika;obshchestvo
72,Плехановская олимпиада школьников,perechen-72,русский язык,2,русский язык,yazyki
73,Региональный конкурс школьников Челябинского университетского образовательного округа,perechen-73,иностранный язык,3,иностранный язык,yazyki
73,Региональный конкурс школьников Челябинского университетского образовательного округа,perechen-73,обществознание,3,обществознание,obshchestvo
74,Санкт-Петербургская астрономическая олимпиада,perechen-74,астрономия,1,"астрономия, физика",fizika
75,Санкт-Петербургская олимпиада школьников,perechen-75,математика,1,математика,matematika
75,Санкт-Петербургская олимпиада школьников,perechen-75,химия,1,химия,himiya
76,Северо-Восточная олимпиада школьников,perechen-76,родные языки,3,образование и педагогические науки,prochee
76,Северо-Восточная олимпиада школьников,perechen-76,филология,3,"русский язык, литература",yazyki;literatura
77,Сибирская межрегиональная олимпиада школьников «Архитектурно-дизайнерское творчество»,perechen-77,"архитектура, изобразительные и прикладные виды искусств",3,"архитектура, дизайн, дизайн архитектурной среды, градостроительство",inzheneriya;iskusstvo
78,Строгановская олимпиада,perechen-78,"рисунок, живопись, скульптура, дизайн",1,изобразительное и прикладные виды искусств,iskusstvo
79,Твой путь в настоящую науку,perechen-79,физика,2,физика,fizika
80,Телевизионная гуманитарная олимпиада школьников «Умницы и умники»,perechen-80,гуманитарные и социальные науки,1,"средства массовой информации и информационно-библиотечное дело, политические науки и регионоведение",literatura;obshchestvo
81,Турнир городов,perechen-81,математика,1,математика,matematika
82,Турнир имени М.В. Ломоносова,perechen-82,биология,2,биология,biologiya
82,Турнир имени М.В. Ломоносова,perechen-82,история,2,история,istoriya
82,Турнир имени М.В. Ломоносова,perechen-82,литература,2,литература,literatura
82,Турнир имени М.В. Ломоносова,perechen-82,математика,2,математика,matematika
82,Турнир имени М.В. Ломоносова,perechen-82,лингвистика,2,"русский язык, иностранный язык, математика",yazyki;matematika
82,Турнир имени М.В. Ломоносова,perechen-82,физика,2,физика,fizika
82,Турнир имени М.В. Ломоносова,perechen-82,химия,2,химия,himiya
83,Университетская олимпиада школьников «Бельчонок»,perechen-83,информатика,2,информатика,informatika
83,Университетская олимпиада школьников «Бельчонок»,perechen-83,математика,3,математика,matematika
83,Университетская олимпиада школьников «Бельчонок»,perechen-83,физика,3,физика,fizika
83,Университетская олимпиада школьников «Бельчонок»,perechen-83,химия,2,химия,himiya
